Line_number,Bias,Input_number
63,1,1
73,1,1
91,1,1
118,1,1
120,0,1
124,1,1
128,0,1
133,0,1
135,0,1
148,0,1
63,1,2
73,1,2
91,1,2
118,1,2
120,1,2
124,1,2
128,0,2
133,0,2
135,0,2
148,0,2
63,1,3
73,1,3
91,1,3
118,1,3
120,1,3
124,1,3
128,0,3
133,0,3
135,0,3
148,0,3
63,0,4
73,1,4
91,1,4
118,1,4
120,0,4
124,1,4
128,0,4
133,0,4
135,0,4
148,0,4
63,1,5
73,1,5
91,1,5
118,1,5
120,0,5
124,1,5
128,0,5
133,0,5
135,0,5
148,0,5
