#time MU_App1 MU_App2 MU_App3 MU_App4
1175 121877 119231 56152 227017
1180 121215 118966 56292 227759
1185 122287 120179 56796 224930
1190 122925 120630 57044 223627
1195 122901 120784 56935 223626
1200 122406 120866 57394 223626
1205 122702 120391 57530 223626
1210 122223 120591 57787 223626
1215 115649 115621 55946 237023
1220 116106 116174 56402 235560
1225 116812 117054 56962 233404
1230 117689 118392 57796 230397
1235 119610 119707 59310 225621
1240 121066 121409 60305 221503
1245 118657 118934 59502 227173
1250 120162 120195 60150 223735
1255 121507 121267 60713 220791
1260 122906 122413 61452 217437
1265 124300 123236 62061 214648
1270 125536 124814 62786 211128
1275 127463 126937 63576 206263
1280 130738 130396 65676 197466
1285 125954 126154 63938 208191
1290 125709 125837 64023 208667
1295 125636 125877 64136 208623
1300 125933 125802 64079 208458
1305 129157 129185 65509 200399
1310 129980 130337 65734 198177
1315 129547 130183 66369 198177
1320 128043 130864 66819 198548
1325 123488 128432 66187 206134
1330 124561 129450 66496 203776
1335 122273 127960 66075 207968
1340 120131 125308 64971 213852
1345 102106 105810 54814 261543
1350 102375 106127 54565 261205
1355 103366 106491 54637 259778
1360 104176 107103 54775 258174
1365 104939 107764 55154 256374
1370 106895 109512 55692 252170
1375 109477 111830 56575 246397
1380 106403 108502 54946 254402
1385 107618 109808 55229 251588
1390 109239 111211 55893 247908
1395 110287 112227 56287 245485
1400 112816 114765 57183 239521
1405 114551 116866 57817 235045
1410 115552 117429 57976 233298
1415 116219 117885 58159 231993
1420 115506 117836 58102 232843
1425 115327 117590 58015 233341
1430 115298 117448 57737 233746
1435 115647 117660 57792 232977
1440 113737 116879 56755 236913
1445 113592 117229 56557 236871
1450 113831 117218 56452 236775
1455 113892 117454 56126 236775
1460 114202 117681 55796 236554
1465 117419 120495 57047 229304
1470 120842 123893 58521 220984
1475 122646 125399 58854 217371
1480 122995 125668 58725 216867
1485 123274 125777 58340 216867
1490 121512 124544 57320 220884
1495 121924 122814 55763 223754
1500 124575 124557 56248 218882
1505 113084 113053 49324 248796
1510 114028 113946 49416 246877
1515 114419 113787 49277 246746
1520 113318 113005 48747 249212
1525 112966 113301 48632 249360
1530 111651 110833 47660 254089
1535 111749 110909 47489 254089
1540 112002 111036 47162 254089
1545 113389 111219 46869 252781
1550 117291 114477 48306 244205
1555 106668 102198 42180 273218
1560 107061 101995 41911 273274
1565 107764 101701 41742 273072
1570 108494 101521 41685 272569
1575 109896 102007 41825 270536
1580 111674 103663 42124 266786
1585 114223 105190 42394 262439
1590 115880 107185 42929 258260
1595 109975 102254 40500 271497
1600 110385 102691 40719 270456
1605 112078 103993 41286 266872
1610 114236 106121 42141 261770
1615 117455 109252 43498 254079
1620 121096 112508 44781 245887
1625 120749 110008 44041 249468
1630 120540 109511 43994 250190
1635 120143 109610 44021 250477
1640 120543 109762 44205 249730
1645 120775 109849 44231 249424
1650 120786 110289 43973 249182
1655 122897 112954 45119 243309
1660 126025 116335 46353 235479
1665 129267 119916 47910 227180
1670 126941 110985 44614 241709
1675 128298 112524 45102 238301
1680 129733 113831 45529 235164
1685 131130 115128 46189 231772
1690 133343 116479 46680 227760
1695 135572 116763 46529 225421
1700 137959 116976 47358 221860
1705 138786 114276 46543 224670
1710 138615 111497 45397 228758
1715 138125 105235 43204 237711
1720 138047 100753 41787 243663
1725 140245 102026 42169 239839
1730 139567 98308 40851 245514
1735 140735 99368 41437 242698
1740 141908 100758 42006 239555
1745 143458 102427 42761 235587
1750 134683 105991 44395 231800
1755 135552 109862 45988 232273
1760 137002 113180 47353 226644
1765 135234 98218 40898 249873
1770 134961 99723 41330 248174
1775 134914 101160 41875 246221
1780 135612 102088 43325 243141
1785 138542 102088 46365 237253
1790 135944 102088 48811 236766
1795 134853 86135 44593 258569
1800 135212 86135 45277 257605
1805 134277 85974 45765 257648
1810 134277 85882 46524 257555
1815 134277 85882 46766 257320
1820 134266 85686 47763 256565
1825 134266 83532 50028 256422
1830 134266 81408 52138 256422
1835 134266 72556 51925 265502
1840 134266 70931 54109 264978
1845 134266 56097 51193 282677
1850 134266 53950 51902 284168
1855 134266 50624 54092 285499
1860 134266 30068 45933 313998
1865 134266 28690 46178 315138
1870 134266 28437 46845 314738
1875 134266 27791 49337 312863
1880 134266 27054 52367 310562
1885 134266 26195 55198 308594
1890 134266 22889 56986 310090
1895 132929 5780 50126 335392
1900 132929 5294 50539 335472
1905 132929 4537 52565 334249
1910 132929 4352 55029 331933
1915 132929 4352 58010 328989
1920 132929 0 51175 340124
1925 132929 0 51389 339945
1930 132929 0 54969 336333
1935 132929 0 58047 333261
1940 132929 0 61074 330253
1945 107572 0 62743 353947
1950 104532 0 63444 356299
1955 104020 0 64429 355826
1960 103892 0 64532 355826
1965 89684 0 64532 370087
1970 36928 0 64274 423049
1975 0 0 49044 475193
